id,正體,簡體,聲母,韻母,聲調,詞例,讀音說明,備註（含义）,声母音标,韵母音标
117,軍,军,j,yen,1,軍隊,,,tɕ,yəŋ
118,很,很,h,en,3,,,,x,əŋ
119,情,情,q,ien,2,感情,,,tɕʰ,iəŋ
120,者,者,zh,ae,3,記者,異讀,,tʂ,ɛ
121,者,者,zh,a,3,之乎者也,,,tʂ,a
122,最,最,z,uei,5,最愛,,,ts,uəi
123,最,最,j,y,5,,口語音,,tɕ,y
124,立,立,l,ieh,8,立體,,,l,iəʔ
125,代,代,t,ae,6,代替,,,tʰ,ɛ
126,想,想,x,ian,3,想象,,,ɕ,iaŋ
127,已,已,,i,3,已經,,,,i
128,通,通,t,on,1,通用,,,tʰ,ɔŋ
129,提,提,t,i,2,提問,,,tʰ,i
130,直,直,ch,eh,8,直接,,,tʂʰ,əʔ
131,題,题,t,i,2,題目,,,tʰ,i
132,黨,党,d,an,3,黨派,,,t,aŋ
133,程,程,ch,en,2,程度,,,tʂʰ,əŋ
134,展,展,zh,in,3,開展,,,tʂ,ĩ
135,五,五,v,v,3,五年,,,ʋ,ʋ
136,果,果,g,u,3,果然,,,k,ʊ
137,料,料,l,io,6,材料,,,l,iɔ
138,象,象,q,ian,6,大象,,,tɕʰ,iaŋ
139,員,员,,iun,2,員工,,,,iʊ̃
140,員,员,,yen,2,,,增益,,yəŋ
141,員,员,,yen,6,,,姓氏,,yəŋ
142,革,革,g,eh,7,革命,,,k,əʔ
143,位,位,v,ei,6,座位,,,ʋ,əi
144,入,入,r,eh,8,入神,,,ɻ,əʔ
145,常,常,ch,an,2,經常,文讀音,,tʂʰ,aŋ
146,常,常,sh,an,2,常周（地名），常姓,本土音,,ʂ,aŋ
147,文,文,v,en,2,文章,,,ʋ,əŋ
148,文,文,v,en,6,文過飾非,,,ʋ,əŋ
149,總,总,z,on,3,總之,,,ts,ɔŋ
150,次,次,c,z,5,名次,,,tsʰ,ɿ
151,品,品,p,ien,3,品牌,,,pʰ,iəŋ
152,式,式,sh,eh,7,公式,,,ʂ,əʔ
153,活,活,h,uh,8,生活,,,x,ʊʔ
154,活,活,,uh,8,,白讀,,,ʊʔ
155,活,活,g,uh,7,活活（流水聲）,,,k,ʊʔ
156,設,设,sh,ih,7,設計,,,ʂ,iʔ
157,及,及,q,ieh,8,及時,,,tɕʰ,iəʔ
159,管,管,g,un,3,管理,,,k,ʊ̃
160,特,特,t,eh,8,特地,,,tʰ,əʔ
161,特,特,t,i,6,特為,,,tʰ,i
162,件,件,q,in,6,條件,,,tɕʰ,ĩ
163,求,求,q,ieu,2,要求,,,tɕʰ,iəɯ
164,老,老,l,o,3,老大,,,l,ɔ
165,頭,头,t,eu,2,頭腦,,,tʰ,əɯ
166,基,基,j,i,1,基本,,,tɕ,i
167,資,资,z,z,1,資本,,,ts,ɿ
168,邊,边,b,in,1,邊界,,,p,ĩ
